day,hour_utc,actual_mw,in_80,in_90,pit,bias
2024-05-29,19,256.177723,1.0,1.0,0.148,-110.56281379816085
2024-05-29,20,318.016504,1.0,1.0,0.232,-81.08699693954219
2024-05-29,21,298.127563,1.0,1.0,0.147,-118.74193033832478
2024-05-29,22,267.10282,0.0,1.0,0.097,-145.86576493754205
2024-05-29,23,295.44462100000004,1.0,1.0,0.194,-97.56903599519228
2024-06-05,0,81.138424,0.0,0.0,0.001,-199.85335657304495
2024-06-05,1,99.24889,0.0,0.0,0.001,-225.13854077386367
2024-06-05,2,182.91463000000002,0.0,0.0,0.006,-243.4615310525484
2024-06-05,3,234.98677500000002,0.0,0.0,0.004,-292.46419821596334
2024-06-05,4,414.34095300000007,0.0,0.0,0.024,-289.96883149329466
2024-06-05,5,827.9899569999999,1.0,1.0,0.238,-137.87473666509197
2024-06-05,6,1032.108064,1.0,1.0,0.171,-215.12257168177302
2024-06-05,7,1145.5430239999998,0.0,1.0,0.095,-279.97628131447254
2024-06-05,8,1324.2703880000001,1.0,1.0,0.153,-195.44462491993113
2024-06-05,9,1273.0784889999998,1.0,1.0,0.2,-171.2746073009041
2024-06-05,10,1056.7679379999997,1.0,1.0,0.12,-261.5001380230583
2024-06-05,11,742.986687,0.0,0.0,0.036,-397.87966393156955
2024-06-05,12,569.507189,0.0,0.0,0.031,-377.7719837142587
2024-06-05,13,442.40322100000003,0.0,1.0,0.053,-284.6510346733487
2024-06-05,14,465.32585900000004,1.0,1.0,0.249,-106.75754641600486
2024-06-05,15,484.71471800000006,1.0,1.0,0.453,-17.382988908927246
2024-06-05,16,384.107017,1.0,1.0,0.238,-110.76734288694689
2024-06-05,17,485.76852999999994,1.0,1.0,0.484,-7.423733352543593
2024-06-05,18,381.517565,1.0,1.0,0.244,-85.11730867054177
2024-06-05,19,580.8098469999999,1.0,1.0,0.802,139.05330891260388
2024-06-05,20,543.047468,1.0,1.0,0.71,88.53792664341313
2024-06-05,21,773.3606120000001,1.0,1.0,0.885,211.84155960406213
2024-06-05,22,754.643615,1.0,1.0,0.425,-33.780308148580616
2024-06-05,23,659.578622,0.0,1.0,0.068,-277.97702394234466
2024-06-12,0,21.430791,0.0,0.0,0.011,-97.38777216873862
2024-06-12,1,43.059421,0.0,1.0,0.076,-86.03554621183427
2024-06-12,2,55.08440100000001,0.0,1.0,0.096,-81.11110007985707
2024-06-12,3,89.36147899999999,1.0,1.0,0.266,-47.74993427638394
2024-06-12,4,139.209081,1.0,1.0,0.526,6.519412565693216
2024-06-12,5,90.46589900000001,1.0,1.0,0.371,-29.21012805792239
2024-06-12,6,74.898867,1.0,1.0,0.332,-39.5163040256804
2024-06-12,7,37.780754,1.0,1.0,0.117,-84.46700245063835
2024-06-12,8,55.173568,1.0,1.0,0.108,-79.11528469238463
2024-06-12,9,53.878389999999996,0.0,0.0,0.023,-110.47260353214037
2024-06-12,10,39.480971,0.0,0.0,0.002,-144.70815557129856
2024-06-12,11,50.41916,0.0,0.0,0.012,-125.30023991956008
2024-06-12,12,46.483406,0.0,0.0,0.01,-123.70146849712467
2024-06-12,13,27.753592999999995,0.0,0.0,0.002,-136.45520966288277
2024-06-12,14,34.444679,0.0,0.0,0.0,-147.61465305207227
2024-06-12,15,65.938874,0.0,0.0,0.017,-138.366428653272
2024-06-12,16,73.206534,0.0,0.0,0.017,-142.43164634801266
2024-06-12,17,58.672436,0.0,0.0,0.012,-135.25436498056573
2024-06-12,18,78.86790399999998,0.0,0.0,0.027,-123.9756957253426
2024-06-12,19,81.065807,0.0,0.0,0.02,-143.254747105841
2024-06-12,20,59.339184,0.0,0.0,0.002,-196.78454012408275
2024-06-12,21,140.615071,0.0,1.0,0.063,-131.89835632186788
2024-06-12,22,232.119084,1.0,1.0,0.394,-30.320626656575826
2024-06-12,23,193.152024,1.0,1.0,0.261,-62.52270935623238
2024-06-19,0,283.03893600000004,1.0,1.0,0.306,-50.3938379775293
2024-06-19,1,376.69311799999997,1.0,1.0,0.585,26.62047204889899
2024-06-19,2,685.0006089999999,1.0,1.0,0.863,189.90587655022904
2024-06-19,3,830.4982140000001,1.0,1.0,0.861,188.15254084614287
2024-06-19,4,891.989004,1.0,1.0,0.76,128.2017733422383
2024-06-19,5,994.631699,1.0,1.0,0.705,110.75183574007269
2024-06-19,6,917.95687,1.0,1.0,0.22,-167.57285884183557
2024-06-19,7,1057.858487,1.0,1.0,0.119,-289.74865169863824
2024-06-19,8,1138.8677910000001,1.0,1.0,0.105,-323.77641365899945
